Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Nymphalidae,Polygonia satyrus,(W. H. Edwards),Satyr Comma,21,6.10,1.55,46.5,3287853,2,5
Lycaenidae,Polyommatus icarus,Rottemberg,European Common Blue,2,4.00,1.41,,,,
Hesperiidae,Pompeius verna,(W. H. Edwards),Little Glassywing,9,4.33,1.73,28.5,1300755,3,5
Pieridae,Pontia beckerii,(W. H. Edwards),Becker's White,6,6.50,1.97,40.5,,3,5
Pieridae,Pontia occidentalis,(Reakirt),Western White,11,7.45,1.63,37.5,,3,5
Pieridae,Pontia protodice,(Boisduval & Le Conte),Checkered White,13,7.23,2.09,41,4378013,3,4
Pieridae,Pontia sisymbrii,(Boisduval),Spring White,6,5.67,1.37,35.5,2131188,3,5
Hesperiidae,Pyrgus centaureae,(Rambur),Grizzled Skipper,7,4.14,1.35,25,3782812,2,5
Hesperiidae,Pyrgus communis,(Grote),Common Checkered Skipper,10,5.70,1.77,26,,3,5
Hesperiidae,Pyrgus ruralis,(Boisduval),Two-banded Checkered Skipper,5,5.00,1.87,23,703032,3,5
Hesperiidae,Pyrgus scriptura,(Boisduval),Small Checkered Skipper,1,4.00,,19,844648,2,5
Pieridae,Pyrisitia lisa,(Boisduval & Le Conte),Little Yellow,10,8.30,1.34,33.5,2876058,3,5
Lycaenidae,Satyrium acadica,(W. H. Edwards),Acadian Hairstreak,22,4.23,1.93,28,1685401,2,5
Lycaenidae,Satyrium behrii,(W. H. Edwards),Behr's Hairstreak,6,3.50,1.87,26.5,674518,1,5
Lycaenidae,Satyrium calanus,(Hübner),Banded Hairstreak,24,4.79,1.65,28.5,2095865,3,5
Lycaenidae,Satyrium californica,(W. H. Edwards),California Hairstreak,4,4.75,1.50,29.5,720301,3,5
Lycaenidae,Satyrium caryaevorus,(McDunnough),Hickory Hairstreak,9,3.78,1.39,25,747439,3,4
Lycaenidae,Satyrium edwardsii,(Grote & Robinson),Edwards' Hairstreak,6,3.83,1.17,25,1404580,2,4
Lycaenidae,Satyrium liparops,(Le Conte),Striped Hairstreak,20,4.60,1.50,24.5,2850670,3,5
